GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.22400    0.74896     13.91229      239.56672      0.71121      -0.17261      13.70330      -3.04606   
 0.22500    0.76299     14.15249      240.82801      0.72503      -0.17567      13.95186      -3.06307   
 0.22600    0.77726     14.39392      242.03570      0.73911      -0.17874      14.20187      -3.07940   
 0.22700    0.79178     14.63654      243.18857      0.75344      -0.18183      14.45325      -3.09503   
 0.22800    0.80654     14.88028      244.28538      0.76802      -0.18493      14.70595      -3.10995   
 0.22900    0.82154     15.12509      245.32495      0.78285      -0.18805      14.95992      -3.12412   
 0.23000    0.83679     15.37091      246.30609      0.79794      -0.19118      15.21508      -3.13755   
 0.23100    0.85228     15.61768      247.22764      0.81328      -0.19432      15.47139      -3.15022   
 0.23200    0.86802     15.86535      248.08846      0.82888      -0.19748      15.72876      -3.16210   
 0.23300    0.88401     16.11384      248.88743      0.84474      -0.20065      15.98715      -3.17319   
 0.23400    0.90025     16.36310      249.62346      0.86086      -0.20382      16.24649      -3.18346   
 0.23500    0.91674     16.61307      250.29547      0.87723      -0.20701      16.50670      -3.19291   
 0.23600    0.93348     16.86367      250.90242      0.89387      -0.21021      16.76771      -3.20152   
 0.23700    0.95047     17.11485      251.44329      0.91077      -0.21341      17.02947      -3.20928   
 0.23800    0.96771     17.36654      251.91709      0.92793      -0.21663      17.29189      -3.21617   
 0.23900    0.98520     17.61866      252.32285      0.94535      -0.21985      17.55491      -3.22218   
 0.24000    1.00295     17.87116      252.65964      0.96304      -0.22307      17.81845      -3.22730   
 0.24100    1.02094     18.12396      252.92656      0.98099      -0.22630      18.08243      -3.23151   
 0.24200    1.03919     18.37699      253.12273      0.99920      -0.22953      18.34679      -3.23481   
 0.24300    1.05770     18.63018      253.24732      1.01768      -0.23277      18.61144      -3.23718   
 0.24400    1.07645     18.88346      253.29953      1.03643      -0.23601      18.87631      -3.23860   
 0.24500    1.09546     19.13675      253.27859      1.05543      -0.23925      19.14132      -3.23908   
 0.24600    1.11473     19.38999      253.18376      1.07471      -0.24249      19.40638      -3.23860   
 0.24700    1.13424     19.64310      253.01434      1.09425      -0.24572      19.67143      -3.23715   
 0.24800    1.15401     19.89599      252.76969      1.11405      -0.24896      19.93637      -3.23472   
 0.24900    1.17404     20.14861      252.44917      1.13412      -0.25219      20.20114      -3.23130   
 0.25000    1.19431     20.40087      252.05220      1.15445      -0.25542      20.46563      -3.22689   
 0.25100    1.21484     20.65269      251.57825      1.17505      -0.25865      20.72978      -3.22147   
 0.25200    1.23562     20.90400      251.02682      1.19591      -0.26187      20.99349      -3.21505   
 0.25300    1.25665     21.15472      250.39744      1.21704      -0.26508      21.25669      -3.20760   
 0.25400    1.27793     21.40477      249.68970      1.23843      -0.26828      21.51928      -3.19914   
 0.25500    1.29945     21.65407      248.90323      1.26008      -0.27147      21.78118      -3.18965   
 0.25600    1.32123     21.90255      248.03770      1.28199      -0.27466      22.04231      -3.17912   
 0.25700    1.34326     22.15012      247.09283      1.30416      -0.27783      22.30258      -3.16756   
 0.25800    1.36553     22.39671      246.06837      1.32659      -0.28099      22.56191      -3.15496   
 0.25900    1.38805     22.64223      244.96413      1.34928      -0.28414      22.82020      -3.14131   
 0.26000    1.41082     22.88661      243.77997      1.37223      -0.28728      23.07736      -3.12662   
 0.26100    1.43383     23.12976      242.51579      1.39544      -0.29039      23.33332      -3.11088   
 0.26200    1.45708     23.37161      241.17153      1.41890      -0.29350      23.58798      -3.09409   
 0.26300    1.48057     23.61208      239.74718      1.44261      -0.29658      23.84126      -3.07626   
 0.26400    1.50430     23.85108      238.24280      1.46658      -0.29965      24.09306      -3.05737   
 0.26500    1.52827     24.08854      236.65848      1.49080      -0.30270      24.34331      -3.03744   
 0.26600    1.55248     24.32437      234.99434      1.51527      -0.30572      24.59190      -3.01646   
 0.26700    1.57692     24.55850      233.25059      1.53998      -0.30873      24.83876      -2.99443   
 0.26800    1.60159     24.79084      231.42747      1.56494      -0.31171      25.08380      -2.97136   
 0.26900    1.62650     25.02133      229.52526      1.59015      -0.31467      25.32692      -2.94726   
 0.27000    1.65164     25.24987      227.54430      1.61560      -0.31761      25.56805      -2.92212   
 0.27100    1.67700     25.47639      225.48498      1.64129      -0.32052      25.80709      -2.89595   
